gid;tipo_elem;idelem;cod_cent;nombre;Xcoord;Ycoord
3040;495;6474;66008;P6. Ginebra - Softa-Suecia;-3,603100081;40,4241762
3041;495;6475;66009;P6. Ginebra - Suecia-Av. Niza;-3,604379184;40,42468406
3042;495;6476;66010;Av. Guadalajara - San Marino-Francfort;-3,607829748;40,42398646
1947;495;5377;89005;Av. Ensanche Vallecas - Rafael Leon-Ca;-3,600756958;40,36426356
1948;495;5378;89006;Ca0ada Santisimo - Av. Cerro Milano-Av. Ensanche Vallecas;-3,599980311;40,36299264
1949;495;5379;89007;Ca0ada Santisimo - Av. Ensanche Vallecas-Av. Cerro Milano;-3,598893284;40,3643967
1950;495;5380;89008;Av. Ensanche Vallecas - Adolfo Marsillach-Ca ada Santisimo;-3,598407647;40,36323472
1937;495;5365;88009;Av. Suertes - Corral Almaguer-Peaaranda Bracamonte;-3,608169112;40,37141253
1939;495;5367;88011;Av. Ensanche de Vallecas - Carriles centrales - P.P.-M-45;-3,607324142;40,36749925
1941;495;5369;88013;Av. Ensanche de Vallecas - Carriles centrales - P.P.-M-45;-3,604834993;40,36641568
1375;495;4789;25023;SAN ZACARIAS E-O;-3,700618057;40,39008023
1376;495;4790;25024;ANTONIO LOPEZ N-S(E. CAXES-MATI. GAYO);-3,702891362;40,39110502
1377;495;4791;25025;EUGENIO CASES E-O(AV.MANZANARES-A.LOPEZ);-3,702980262;40,39164873
1379;495;4793;25027;ANT. LOPEZ N-S(STA.Ma.CABEZA-MARIBLANCA);-3,705025501;40,392533
1380;495;4794;25028;(TACTICO)TOMELLOSO O-E;-3,697824057;40,38230979
1512;495;4932;38011;AV.POBLADOS E-O(ANT.ROMERO-VIA LUSITANA);-3,731968857;40,37353462
1514;495;4934;38013;E.MONTIJO S-N(PZA PARTERRE-AV. POBLADOS);-3,750459876;40,37601681
23;495;3404;38014;(TAC)J.IBORRA E-O(M.NAZARIA-E.MONTIJO);-3,751023353;40,37380221
361;495;3768;38015;(TAC)J.TURINA S-N(GUITARRA-CARABAN.ALTO);-3,75162832;40,37339948
3387;495;4951;38033;A.RODRIGUEZ SACRISTAN O-E(GUAYABA-SECOYA;-3,743077859;40,37298358
1556;495;4978;39025;(TAC)R.B.ROZPIEDE O-E(AVENA-R.YBARRA);-3,71252591;40,37548813
1557;495;4979;39031;AV. POBLADOS O-E(E.BARREIROS-DULCE);-3,696605339;40,37091699
1558;495;4980;39032;E.BARREIROS N-S(STA M. REINA-AV.ROSALES);-3,696257724;40,37031139
96;495;3479;48002;(TACTICO)SAN MAGIN S-N;-3,714199381;40,38496533
3551;495;9853;84043;(TAC)C.ALTAMIRA S-N(P.HUMANIDAD-PESETA);-3,759937046;40,36229106
1849;495;5276;85002;ENTRADA A TUNEL CALLE 30 N-S;-3,714291076;40,39785873
1859;495;5286;85012;ANTONIO LOPEZ O-E;-3,715002043;40,39738147
1860;495;5287;85013;ANTONIO LOPEZ E-O;-3,71424362;40,39709868
1861;495;5288;85014;ANTONIO LOPEZ O-E;-3,713092756;40,39648292
1862;495;5289;85015;ANTONIO LOPEZ E-O;-3,712174559;40,39611486
1864;495;5291;85017;ANTONIO LOPEZ E-O;-3,709829353;40,39500524
3899;495;10016;94025;BASCU?UELOS E- O (CDAD FRIAS - V. TOBAL);-3,714824484;40,3376825
1593;495;5016;95030;JUAN TORNERO E-O(LAIN CALVO-CARAMUEL);-3,726036059;40,41179057
1750;495;5177;98036;(TAC.)SEBASTIAN ALVARO O-E(GIRO IZDA);-3,772279772;40,3940693
1745;495;5172;98037;(TAC) CT.CCHEL-ARAVACA S-O(GIRO S.ALVAR);-3,771995674;40,39415491
1754;495;5181;98300;(MICRO)CTRA. BOADILLA E-O (A-5-CARABIAS);-3,766744165;40,39898016
921;495;4331;30401;(TACTICO) P: VIRGEN DEL PUERTO N-E(GIRO A CDAD. PLASENCIA);-3,720778037;40,41515326
2326;495;5759;92005;(TACTICO) P: Direccisn E-O (Gardenias- P: Direccisn);-3,706686423;40,46500122
238;495;3643;42001;Av. Cardenal Herrera Oria - Isla del Yeso-Isla Tabarca;-3,724889568;40,47931944
962;495;4372;17041;Rey Francisco E-O - Ferraz-Pintor Rosales;-3,717733907;40,42636824
328;495;3734;31049;VILLAAMIL S-N(BUSTILLO -ISLA GOMERA);-3,708053157;40,46093624
417;495;3824;32024;MELCHOR FERNANDEZ ALMAGRO E-O(FINISTERRE-GINZO DE LIMIA);-3,702060633;40,47724385
1170;495;4582;32052;(AFOROS) AV. ASTURIAS E-O(SAN AQUILINO -MAGNOLIAS);-3,691783127;40,46732248
3653;495;7024;32054;(TACTICO) SINESIO DELGADO O-E (GIRO A HOSPITAL CARLOSIII);-3,697891496;40,47453312
3157;495;6591;77408;(TACTICO)PTE. REINA O-E(GIRO A VALCARLOS);-3,670551547;40,50032996
891;495;4301;16026;(AFOROS) Gran Via, 44 S-N - Jimenez de Quesada-Mesonero Romanos;-3,703722125;40,42019894
964;495;4375;17044;Donoso Cortes E-O - Hilarion Eslava-Isaac Peral;-3,716716768;40,43656466
1174;495;4586;33002;Daniel Vozquez DOaz E-O - Mauricio Legendre-Pa Castellana;-3,685298149;40,47486824
1231;495;4644;34034;Pradillo, 20 O-E - Pl.Cataluua-Marcenado;-3,674850404;40,44866719
2094;495;5526;61012;Enrique Larreta N-S - Agustun de Foxn-Mateo Inurria;-3,68646002;40,46761325
2096;495;5528;61014;Manuel Ferrero N-S - Rafael Herrera-Mateo Inurria;-3,684494741;40,46765784
2164;495;5596;61089;Alfonso XIII O-E - Puerto Rico-Paraguay;-3,672792676;40,46023142
2251;495;5683;62073;Lope de Haro O-E - Berruguete-Juan Risco;-3,703152936;40,45701827
2253;495;5685;62075;Bravo Murillo N-S - Marquus de Viana -Algodonale;-3,698683028;40,46033402
2254;495;5686;62076;Bravo Murillo N-S - Marquus de Viana-Maria Zayas;-3,699385607;40,45963886
2255;495;5687;62077;Bravo Murillo S-N - Maria Zayas- Lope de Haro;-3,700870283;40,45832137
2256;495;5688;62078;Bravo Murillo S-N - Gral.Yagye-Huesca;-3,70105822;40,45795374
2257;495;5689;62079;Bravo Murillo S-N - Huesca-Pensamiento;-3,699901508;40,45911499
2218;495;5650;62034;Orense S-N - Francisco GervPs-Rosario Pino;-3,693966045;40,46174349
2219;495;5651;62035;Orense N-S - Francisco GervPs-Sor Angela de la Cruz;-3,694155462;40,46044122
2282;495;5714;63027;Raimundo Fdez.Villaverde O-E(Puente) - Orense-PCCastellana;-3,695258134;40,44638027
2287;495;5719;63032;Orense N-S - Hernani-Raimundo Fdez.Villaverde;-3,695485778;40,4476436
384;495;3791;46018;C/. Arturo Soria - Alcalm-Ldpez de Aranda;-3,639991256;40,44058982
2630;495;6063;47002;C/. Arturo Soria - Alastro-Ramonet;-3,66631653;40,46798568
2798;495;6231;55011;C/. Silvano - Algabelo-Av. Machupichu;-3,636749745;40,46265808
2799;495;6232;55012;C/. Silvano - Av. Machupichu-Josp Domingo Rus;-3,633976871;40,46264087
2800;495;6233;55013;C/. Silvano - Jos  Domingo Rus-Av. Machupichu;-3,634098267;40,4627185
2811;495;6244;55027;Av. Machupichu - Mota del Cuervo-Silvano;-3,635438759;40,46378787
2875;495;6308;56028;C/. 8ngel Luis de la Herran - Valdetorres del Jarama-Llpez de Hoyos;-3,650746233;40,46990771
2879;495;6312;56032;Ctra. Acceso Estacian de Hortaleza - Doea Guiomar-Monovar;-3,655034417;40,47579116
2880;495;6313;56033;Ctra. Acceso Estacian de Hortaleza - Av. San Luas-Virgen del Carmen;-3,656776271;40,47236373
2881;495;6314;56034;C/. Virgen del Carmen - Totana-Ctra. Acceso EstaciVn de Hortaleza;-3,65549835;40,47331456
2882;495;6315;56035;C/. Monovar - Monovar-Ctra. Acceso Estacisn de Hortaleza;-3,656173931;40,47523605
3054;495;6488;68006;Av. Entrevras - Renfe-Ronda Sur;-3,658039277;40,37606395
3055;495;6489;68007;C/. Embajadores - Santa Catalina-Carretera Villaverde a Vallecas;-3,67602635;40,36904527
3057;495;6491;69001;Av. Arcentales - Hermanos Garcna Noblejas-Ajofrin;-3,626339307;40,42586384
3060;495;6494;69004;C/. Ajofrin - Pobladura del Valle-Av. Arcentales;-3,625409819;40,42605546
259;495;3664;71001;C/. Alcali - Electra-San Romualdo;-3,620960188;40,44254194
260;495;3665;71002;C/. Alcali - Electra-Av. Canillejas a Vicalvaro;-3,618454798;40,44316474
3020;495;6454;67021;C/. Arroyo Media Legua  - Alcalde Garrrido Juaristi-Av. Doctor Garc;-3,653498599;40,41282415
1350;495;4764;24031;CEBREROS O-E(CARLINA-HIGUERAS);-3,746776894;40,40478508
1351;495;4765;24032;(TAC)GIRO CEBREROS E-S (HIGU-SEPULVEDA);-3,747649662;40,40457994
1352;495;4766;24036;CARLINA N-S(VILLAMANIN-CEBREROS);-3,751390914;40,40443202
3435;494;1043;18RT11PM01;18RT11PM01;-3,720736532;40,41836061
3437;494;1045;18RU04PM01;18RU04PM01;-3,721044044;40,41916347
13;494;3546;18RV21PM01;18RV21PM01;-3,741023108;40,40988171
3798;495;9914;97016;Almansa O-E - Vascos-Pablo Iglesias;-3,711111119;40,44955248
1060;495;4472;97017;San Francisco Sales O-E - Santander-Pablo Iglesias;-3,708541858;40,44512934
2643;495;6076;47015;C/. Julio Danvila - Mesena-Arturo Soria;-3,666016086;40,47176315
2337;495;5770;97013;Av. Complutense N-S  - Arquitecto Lopez Otero - Gta.Cardenal Cisneros;-3,726798267;40,44127731
2338;495;5771;97014;Acc.Ingeniros Navales E-O -  Ing.Navales-Gta.Cardenal Cisneros;-3,72548049;40,4397706
2375;495;5808;40029;C/. Javier de Miguel - Mart nez de la Riva-Carlos MartCn nlvarez;-3,6643318;40,38906732
2387;495;5820;41010;Av. Albufera - Sierra del Cadi-Josefa Diaz;-3,659165537;40,39306602
2349;495;5782;97403;Dr. Tebfilo Hernando N-S - Juin Montalvo - Reina Victoria;-3,714878113;40,4461056
729;495;4137;97404;(TACTICO)Mondez alvaro O-E(Giro a Retama) - Titan-M-30;-3,676905036;40,39253516
2557;495;5990;45046;C/. JosO Arcones Gil  - Gabriel Montero-Gandhi;-3,631464856;40,42466087
2594;495;6027;46020;Entrada desde M30  - M-30-Arturo Soria;-3,663006239;40,46077929
2595;495;6028;46021;C/. Navarro Amandi - Mesena-Arturo Soria;-3,660200186;40,46066385
2596;495;6029;46022;C/. L;-3,660321289;40,45807681
2597;495;6030;46023;C/. Belisana - Belisana-Arturo Soria;-3,656701871;40,45778484
2598;495;6031;46024;C/. Josi Silva - Agastia-Arturo Soria;-3,657326366;40,4553532
2645;495;6078;47017;Av. San Luis - Eladio Lapez Vilches-Cuevas de Almanzora;-3,663945829;40,47407286
2785;495;6218;54031;Av. Daroca - Casalarreina-Av.Daroca;-3,616249929;40,40872313
2752;495;6185;53407;C/. Salas Barbadillo - Salas Barbadillo-Francisco Villaespesa;-3,644974221;40,42903739
2755;495;6188;53410;C/. Ascao - Ascao-Emilio Ferrari;-3,640477309;40,43033129
2756;495;6189;53411;Pl. Villaflor - Vital Aza-Ascao;-3,63578072;40,43253679
2757;495;6190;53412;C/. Luis Ruoz - Luis Ruzz-Braulio Gutiorrez;-3,636806445;40,4290697
2786;495;6219;54401;C/. Casalarreina - Giro Izquierda - Camino Viejo de Vicelvaro-Cordovsn;-3,611332679;40,40944829
2787;495;6220;54402;C/. Villajimena - Villablanca-Pd Artilleros;-3,609119121;40,40755417
2916;495;6349;57403;C/. Bureta - Burriana-Av. Logrodo;-3,586159299;40,46450296
3167;495;6601;79001;Av. Niceto Alcalr Zamora - Sauceda-Marla de Portugal;-3,660170964;40,50124755
3168;495;6602;79002;Av. Niceto Alcalr Zamora - Ana de Austria-Maroa de Portugal;-3,657616262;40,49977189
3169;495;6603;79003;Av. Niceto Alcalr Zamora - Ana de Austria-Alcalde Conde de Mayalde;-3,651167656;40,49547545
3170;495;6604;79004;Av. Niceto Alcalr Zamora - Fernando Rojas-Alcalde Conde Mayalde;-3,648273153;40,4937384
3115;495;6549;74002;C/. Deyanira - Campezo- Arrastaria;-3,584804544;40,44282331
